minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index,state
194,194,2820.0,151659100.0,40.70424600816758,30.528184506125683,1,0,0.0,0.0,194031,76176500.0,0.0,50.22876965510148,0.0,50.22876965510148,0.0,Alabama
195,195,2190.0,160690100.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
211,211,20790.0,1028827600.0,31.81930424426509,23.864478183198823,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
212,212,970.0,48786100.0,35.19523993808049,26.39642995356037,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
231,231,7300.0,943459200.0,34.231541522995904,25.673656142246926,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
232,232,4720.0,255613100.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
251,251,15370.0,1273306200.0,29.69838771826371,22.27379078869778,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
252,252,57210.0,3086086900.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,30553600.0,0.0,0.9900434106375943,0.0,0.9900434106375943,0.0,Alabama
253,253,4650.0,216712200.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
254,254,3260.0,180741200.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,4294800.0,0.0,2.376215273551354,0.0,2.376215273551354,0.0,Alabama
259,259,11880.0,380673000.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
271,271,6630.0,301180800.0,45.24999957023057,33.93749967767293,2,0,0.0,0.0,"271021,271027",11275900.0,0.0,3.7438973533505457,0.0,3.7438973533505457,0.0,Alabama
272,272,4770.0,264591200.0,26.99927306066501,20.24945479549876,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
273,273,5530.0,359552700.0,34.01165656460684,25.50874242345513,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
274,274,1680.0,83924600.0,37.78845950747211,28.341344630604084,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
291,291,85200.0,8120655600.0,21.333137272367406,15.999852954275555,1,0,0.0,0.0,291129,5248200.0,0.0,0.06462778694863011,0.0,0.06462778694863011,0.0,Alabama
292,292,48950.0,2195920400.0,26.941030628116607,20.205772971087463,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
299,299,740.0,37182700.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
311,311,43710.0,1234784800.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
312,312,3060.0,162825600.0,25.89066740537329,19.418000554029963,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
319,319,23380.0,827824200.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
331,331,3480.0,247100100.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
332,332,7530.0,348308300.0,43.55238633915104,32.66428975436329,1,0,0.0,0.0,332022,1460800.0,0.0,0.41939856156169697,0.0,0.41939856156169697,0.0,Alabama
333,333,19110.0,990484300.0,38.15975687395966,28.61981765546975,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
339,339,17540.0,562720100.0,37.23349766042781,27.925123245320854,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
351,351,20840.0,804083400.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
352,352,67470.0,1820600800.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
353,353,73490.0,1758837100.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
359,359,11010.0,263739500.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,92379000.0,0.0,35.02660769433475,0.0,35.02660769433475,0.0,Alabama
371,371,4260.0,206031000.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
372,372,37530.0,1081493600.0,29.467748210395268,22.100811157796453,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
373,373,12810.0,447626900.0,48.492647058823536,36.369485294117645,2,0,0.0,0.0,"373011,373013",436556900.0,0.0,97.52695827708298,0.0,97.52695827708298,0.0,Alabama
391,391,2660.0,117963000.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
392,392,3890.0,109754500.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,5514000.0,0.0,5.02393979290143,0.0,5.02393979290143,0.0,Alabama
393,393,6510.0,155936000.0,36.47314133986929,27.35485600490196,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
394,394,1150.0,46151500.0,36.88357843137255,27.662683823529413,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
395,395,4520.0,155874100.0,32.498039215686276,24.373529411764707,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
396,396,190.0,5885700.0,40.50113122171946,30.375848416289596,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
397,397,490.0,17610600.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
399,399,14490.0,428857400.0,28.20065359477124,21.15049019607843,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
411,411,23780.0,1203740400.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
412,412,121520.0,3542736000.0,33.46436326145931,25.098272446094487,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
413,413,24000.0,1770602700.0,39.14716025994716,29.36037019496037,1,0,0.0,0.0,413091,778687000.0,0.0,43.97864071934376,0.0,43.97864071934376,0.0,Alabama
414,414,22190.0,1613401300.0,39.9348283613223,29.951121270991724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
419,419,5390.0,283045500.0,36.52832465903158,27.39624349427369,1,0,0.0,0.0,419031,35355600.0,0.0,12.49113658404744,0.0,12.49113658404744,0.0,Alabama
431,431,20080.0,1203996800.0,35.07732980832783,26.307997356245878,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
432,432,820.0,25075600.0,49.930481283422466,37.44786096256685,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
433,433,36270.0,1426647600.0,31.52360188512133,23.642701413840996,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
434,434,67830.0,2440194900.0,34.111669408790966,25.583752056593227,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
435,435,26770.0,1261967400.0,30.948927997511408,23.211695998133553,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
436,436,57610.0,2423304000.0,32.783828035426716,24.587871026570035,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
439,439,23740.0,750005700.0,39.83042245067236,29.87281683800427,1,0,0.0,0.0,439071,2557200.0,0.0,0.34095740872369373,0.0,0.34095740872369373,0.0,Alabama
451,451,650.0,43387500.0,25.53186274509804,19.14889705882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
452,452,2790.0,91266200.0,42.75010212418301,32.06257659313726,1,0,0.0,0.0,452041,16816800.0,0.0,18.426098599481517,0.0,18.426098599481517,0.0,Alabama
454,454,2150.0,102418600.0,39.95973950477627,29.969804628582207,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
471,471,13730.0,944761300.0,34.59436274509804,25.94577205882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
472,472,61130.0,2803541200.0,32.151732964392814,24.11379972329461,2,0,0.0,0.0,"472011,472061",594114500.0,0.0,21.191573713987154,0.0,21.191573713987154,0.0,Alabama
473,473,3770.0,128944900.0,36.829775849733835,27.622331887300373,1,0,0.0,0.0,473015,41575600.0,0.0,32.242919262413636,0.0,32.242919262413636,0.0,Alabama
474,474,5900.0,255111300.0,35.37588368680806,26.53191276510604,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
475,475,1350.0,67792500.0,38.823405624876216,29.117554218657165,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
491,491,12480.0,915158400.0,33.89338235294118,25.420036764705888,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
492,492,9170.0,572195800.0,43.552505181661196,32.6643788862459,3,0,0.0,0.0,"492091,492092,492093",114194100.0,0.0,19.95717200301016,0.0,19.95717200301016,0.0,Alabama
493,493,30250.0,1595496100.0,33.582539804966274,25.186904853724705,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
499,499,53610.0,2769519800.0,39.043137709629306,29.282353282221987,2,0,0.0,0.0,"499044,499096",144721900.0,0.0,5.225523211641239,0.0,5.225523211641239,0.0,Alabama
511,511,17490.0,1231820700.0,36.13570691434468,27.101780185758507,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
512,512,59340.0,2420860200.0,35.96595860566449,26.974468954248366,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
513,513,16590.0,516138000.0,30.852195225916454,23.139146419437342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
514,514,43460.0,1948078800.0,37.38132157697375,28.035991182730314,4,0,0.0,0.0,"514021,514033,514081,514191",256982700.0,0.0,13.191596767030164,0.0,13.191596767030164,0.0,Alabama
515,515,2970.0,104543900.0,34.50174952135737,25.87631214101803,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
516,516,9230.0,296427600.0,44.40147801544861,33.301108511586456,3,0,0.0,0.0,"516061,516062,516093",14695700.0,0.0,4.957601788767308,0.0,4.957601788767308,0.0,Alabama
517,517,7490.0,272318800.0,41.04878618113912,30.78658963585434,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
518,518,5190.0,325436500.0,32.24813021497155,24.18609766122866,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
519,519,50420.0,2101687100.0,44.3562188061504,33.2671641046128,11,0,0.0,0.0,"519011,519022,519031,519032,519041,519083,519151,519191,519192,519196,519198",777901300.0,0.0,37.01318336111974,0.0,37.01318336111974,0.0,Alabama
531,531,10080.0,623974800.0,35.17565359477125,26.381740196078432,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
532,532,1480.0,147920400.0,33.48797348484849,25.115980113636365,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
533,533,73510.0,3127281100.0,25.380621829151245,19.035466371863432,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
534,534,1000.0,60960300.0,17.752042483660134,13.314031862745102,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
535,535,760.0,55592500.0,30.793272801544862,23.094954601158648,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alabama
536,536,3420.0,113654300.0,39.54185682893848,29.65639262170386,2,0,0.0,0.0,"536041,536051",16771600.0,0.0,14.75667880581729,0.0,14.75667880581729,0.0,Alabama
537,537,120630.0,4307691100.0,33.56880641145347,25.176604808590106,2,0,0.0,0.0,"537041,537064",215501400.0,0.0,5.002712473974747,0.0,5.002712473974747,0.0,Alabama
111,111,7400.0,951689000.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
112,112,1190.0,130535100.0,43.957277403343,32.96795805250725,1,0,0.0,0.0,112021,17971200.0,0.0,13.767331545308503,0.0,13.767331545308503,0.0,Alaska
113,113,6030.0,784789700.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,87686400.0,0.0,11.173235326610428,0.0,11.173235326610428,0.0,Alaska
119,119,8940.0,1063944300.0,37.035199608761566,27.77639970657117,2,0,0.0,0.0,"119041,119121",171505600.0,0.0,16.11979123343205,0.0,16.11979123343205,0.0,Alaska
131,131,9200.0,795243400.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,40078600.0,0.0,5.039790333374662,0.0,5.039790333374662,0.0,Alaska
132,132,4360.0,384498100.0,34.504162979593346,25.87812223469501,1,0,0.0,0.0,132099,9544700.0,0.0,2.482378976645138,0.0,2.482378976645138,0.0,Alaska
151,151,4200.0,389756300.0,68.19944353771909,51.149582653289315,12,2,0.0,0.0,"151211,151212,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",299729500.0,40776400.0,76.90177169682697,10.462024603579211,66.43974709324776,0.19701718920909714,Alaska
152,152,430.0,38923800.0,57.23513485805157,42.926351143538675,4,0,0.0,0.0,"152031,152041,152051,152099",38923800.0,0.0,100.0,0.0,100.0,0.0,Alaska
171,171,540.0,51085000.0,41.14446276291725,30.858347072187936,1,0,0.0,0.0,171011,16672500.0,0.0,32.636781834197905,0.0,32.636781834197905,0.0,Alaska
172,172,4470.0,514894400.0,50.188461531902135,37.64134614892661,7,0,0.0,0.0,"172011,172061,172071,172072,172141,172171,172199",242328100.0,0.0,47.06365033296148,0.0,47.06365033296148,0.0,Alaska
173,173,1760.0,134133200.0,48.31704935150262,36.237787013626956,3,0,0.0,0.0,"173012,173023,173028",37150850.0,0.0,27.696983297200095,0.0,27.696983297200095,0.0,Alaska
191,191,1750.0,151399300.0,45.11492041998831,33.83619031499123,1,0,0.0,0.0,191029,38757600.0,0.0,25.599589958474052,0.0,25.599589958474052,0.0,Alaska
192,192,1430.0,140337500.0,50.21742790975528,37.663070932316465,3,0,0.0,0.0,"192021,192042,192099",69376500.0,0.0,49.435468068050234,0.0,49.435468068050234,0.0,Alaska
193,193,790.0,70190900.0,39.34046720675412,29.505350405065595,2,0,0.0,0.0,"193011,193099",18431600.0,0.0,26.259244431970526,0.0,26.259244431970526,0.0,Alaska
194,194,1840.0,112558200.0,41.193536884450744,30.89515266333806,1,0,0.0,0.0,194031,6799100.0,0.0,6.040519482365568,0.0,6.040519482365568,0.0,Alaska
195,195,520.0,45846300.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
211,211,6880.0,438783400.0,32.480248649017554,24.360186486763162,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
212,212,190.0,11520300.0,35.19523993808049,26.39642995356037,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
231,231,1260.0,170067100.0,29.914275727788933,22.435706795841696,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
232,232,900.0,58724300.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
251,251,1960.0,170933600.0,29.560943454578943,22.170707590934214,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
252,252,8590.0,646393600.0,26.05262679207692,19.539470094057695,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
253,253,2810.0,181449200.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
254,254,690.0,44969100.0,43.75117220801364,32.81337915601023,1,0,0.0,0.0,254013,3640000.0,0.0,8.094447075880993,0.0,8.094447075880993,0.0,Alaska
259,259,5130.0,223454600.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
271,271,1030.0,47110600.0,41.160412267471095,30.870309200603323,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
272,272,760.0,37131800.0,28.575982358924342,21.43198676919326,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
273,273,1460.0,101671000.0,35.452506350836074,26.589379763127056,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
274,274,240.0,13792900.0,37.81480587730588,28.36110440797941,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
291,291,12970.0,1666448100.0,21.23560310865663,15.926702331492477,1,0,0.0,0.0,291129,6690600.0,0.0,0.40148865122172117,0.0,0.40148865122172117,0.0,Alaska
292,292,6530.0,403185000.0,26.45317422559002,19.839880669192517,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
299,299,410.0,29169900.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
311,311,7680.0,313058800.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
312,312,210.0,12882700.0,25.89066740537329,19.418000554029963,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
319,319,4310.0,244455500.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
331,331,1040.0,97167600.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
332,332,1160.0,68051900.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
333,333,2640.0,227737700.0,38.0560945869576,28.542070940218196,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
339,339,3820.0,198219000.0,36.91816271963331,27.688622039724983,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
351,351,2950.0,151575700.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
352,352,9330.0,355528600.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
353,353,11610.0,379309800.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
359,359,2080.0,65424900.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,28374300.0,0.0,43.36926766414622,0.0,43.36926766414622,0.0,Alaska
371,371,780.0,44957700.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
372,372,8430.0,319667900.0,29.467748210395268,22.100811157796453,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
373,373,980.0,45659000.0,47.170206971677565,35.37765522875817,2,0,0.0,0.0,"373011,373013",42651200.0,0.0,93.41247070676098,0.0,93.41247070676098,0.0,Alaska
391,391,800.0,48366200.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
392,392,530.0,19403300.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
393,393,1080.0,36642800.0,36.47314133986929,27.35485600490196,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
395,395,750.0,32507400.0,35.5359477124183,26.65196078431373,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
396,396,90.0,2930400.0,40.50113122171946,30.375848416289596,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
397,397,1320.0,65392800.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
399,399,2100.0,90873100.0,26.261029411764703,19.69577205882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
411,411,3290.0,191639700.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
412,412,15400.0,588224700.0,33.46436326145931,25.098272446094487,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
413,413,2030.0,130312800.0,39.14716025994716,29.36037019496037,1,0,0.0,0.0,413091,53999800.0,0.0,41.438600045429155,0.0,41.438600045429155,0.0,Alaska
414,414,1220.0,91166400.0,39.9348283613223,29.951121270991724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
419,419,490.0,36112400.0,36.45696955205316,27.34272716403987,1,0,0.0,0.0,419031,3205800.0,0.0,8.877283149278364,0.0,8.877283149278364,0.0,Alaska
431,431,5140.0,349879800.0,35.07732980832783,26.307997356245878,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
432,432,70.0,2394700.0,49.930481283422466,37.44786096256685,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
433,433,6910.0,363799100.0,31.52360188512133,23.642701413840996,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
434,434,8550.0,380900200.0,33.32864245203796,24.99648183902847,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
435,435,3970.0,218939600.0,29.772906734247233,22.32968005068543,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
436,436,8570.0,424162100.0,32.783828035426716,24.587871026570035,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
439,439,6330.0,305891600.0,39.09676956547429,29.322577174105714,1,0,0.0,0.0,439071,5350000.0,0.0,1.7489855883587517,0.0,1.7489855883587517,0.0,Alaska
451,451,40.0,2583200.0,25.53186274509804,19.14889705882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
452,452,180.0,7629600.0,35.77042483660131,26.82781862745098,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
454,454,60.0,3587400.0,43.128676470588246,32.34650735294118,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
471,471,2600.0,244894000.0,34.59436274509804,25.94577205882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
472,472,12330.0,879423900.0,31.830699325184614,23.873024493888465,1,0,0.0,0.0,472061,155375100.0,0.0,17.667827767701105,0.0,17.667827767701105,0.0,Alaska
473,473,500.0,19571200.0,45.84556347791642,34.38417260843732,1,0,0.0,0.0,473015,4110400.0,0.0,21.002289077828646,0.0,21.002289077828646,0.0,Alaska
474,474,890.0,56174000.0,34.73809523809524,26.05357142857143,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
475,475,2600.0,212503250.0,42.807605466429,32.10570409982176,2,0,0.0,0.0,"475011,475081",35576300.0,0.0,16.741532188331238,0.0,16.741532188331238,0.0,Alaska
491,491,2030.0,190921500.0,33.89338235294118,25.420036764705888,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
492,492,1810.0,146381400.0,42.35607265354708,31.767054490160312,2,0,0.0,0.0,"492091,492093",11213300.0,0.0,7.6603311622924775,0.0,7.6603311622924775,0.0,Alaska
493,493,5940.0,401144400.0,32.865974983622046,24.649481237716532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
499,499,7180.0,481258800.0,37.94327461753932,28.457455963154494,1,0,0.0,0.0,499044,13898000.0,0.0,2.887843297618662,0.0,2.887843297618662,0.0,Alaska
511,511,1040.0,85009600.0,36.13570691434468,27.101780185758507,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Alaska
