O*NET-SOC Code,Title,technical_composition,cognitive_skills,social_skills,operations_skills,maintenance_skills,management_skills,technical_skills
13-1199.05,Sustainability Specialists,0.14926968293551834,3.3200000000000003,3.061666666666667,1.81,1.06,2.688333333333333,2.095
13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.14919386551317343,3.1257142857142854,3.0416666666666665,1.81,1.03,2.5833333333333335,2.0325
29-1161.00,Nurse Midwives,0.14919383905615494,3.6257142857142854,3.438333333333333,1.9375,1.0625,2.581666666666667,2.2175
25-1071.00,"Health Specialties Teachers, Postsecondary",0.14918277077370676,3.661428571428571,3.2483333333333335,1.78,1.465,2.6916666666666664,2.2525
29-1141.00,Registered Nurses,0.14917266932087542,3.4114285714285715,3.5,2.5024999999999995,1.25,2.5400000000000005,2.315
41-3041.00,Travel Agents,0.14899156616423198,2.8385714285714285,3.391666666666667,1.405,1.03,2.23,1.9075
43-6011.00,Executive Secretaries and Executive Administrative Assistants,0.1487893064533801,2.8385714285714285,3.19,1.53,1.06,2.48,1.94
13-1111.00,Management Analysts,0.14866426971308308,3.607142857142857,3.48,1.5325,1.03,3.063333333333333,2.22
25-9021.00,Farm and Home Management Educators,0.1484229346862679,3.537142857142857,3.625,1.94,1.0625,3.1033333333333335,2.3125
13-2052.00,Personal Financial Advisors,0.14837502719164672,3.265714285714286,3.27,1.3425,1.0,2.7733333333333334,2.03
19-4099.01,Quality Control Analysts,0.14814127256694667,3.0357142857142856,2.625,3.25,1.845,2.355,2.28
13-2053.00,Insurance Underwriters,0.147969218430751,3.0171428571428573,2.8966666666666665,1.25,1.0,2.4599999999999995,1.845
19-4012.00,Agricultural Technicians,0.1478848763695343,2.802857142857143,2.75,2.4675,1.78,2.4583333333333335,2.1275
29-1022.00,Oral and Maxillofacial Surgeons,0.14773375455223553,3.714285714285715,3.145,2.5649999999999995,1.72,2.73,2.405
29-1151.00,Nurse Anesthetists,0.14755007704160247,3.731428571428572,3.418333333333333,2.8774999999999995,2.0,2.7916666666666665,2.565
11-9199.01,Regulatory Affairs Managers,0.14751630707476165,3.4642857142857144,3.1466666666666665,1.2825,1.0,3.0400000000000005,2.065
15-1212.00,Information Security Analysts,0.14749503123787502,3.2885714285714287,2.7916666666666665,2.4675,1.6225,2.6466666666666665,2.2175
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.1474772603591697,3.5542857142857143,3.226666666666667,1.22,1.0,2.748333333333333,2.0325
29-1141.03,Critical Care Nurses,0.14742771088784393,3.6257142857142854,3.561666666666667,2.6875,1.1875,2.686666666666667,2.3775
29-1141.01,Acute Care Nurses,0.1472465633488734,3.552857142857143,3.5216666666666665,2.565,1.22,2.706666666666667,2.3425
29-1021.00,"Dentists, General",0.14721427532366774,3.66,3.605,2.595,1.6275,3.168333333333333,2.53
